SLIC,Facility Latitude,Facility Longitude
713,40.7539,-74.0636
715,40.8872,-74.1028
718,40.7526,-74.1942
719,40.7526,-74.1942
71TD,40.7526,-74.1942
721,40.5109,-74.3386
728,40.5109,-74.3386
729,20.3454,-37.09165
72AM,0,0
72AZ,0,0
73,40.7539,-74.0636
731,40.8614,-74.4369
732,40.5109,-74.3386
736,30.565425,-55.5477
738,40.7539,-74.0636
739,40.7539,-74.0636
74,40.8872,-74.1028
742,40.8614,-74.4369
744,40.7539,-74.0636
746,40.7539,-74.0636
748,40.7539,-74.0636
749,40.909,-74.7565
75,40.8872,-74.1028
751,40.8872,-74.1028
754,40.7539,-74.0636
756,40.8614,-74.4369
758,40.8872,-74.1028
759,40.8872,-74.1028
75AC,0,0
75CP,40.8872,-74.1028
761,40.8872,-74.1028
762,40.7526,-74.1942
763,40.7539,-74.0636
764,40.7526,-74.1942
766,40.8872,-74.1028
767,40.7539,-74.0636
768,40.8614,-74.4369
77,40.2833,-74.0781
771,40.2833,-74.0781
776,40.2833,-74.0781
777,40.2833,-74.0781
778,40.2833,-74.0781
779,40.2833,-74.0781
781,40.909,-74.7565
782,40.909,-74.7565
784,40.909,-74.7565
786,40.909,-74.7565
787,40.909,-74.7565
788,40.5722,-74.5611
789,40.5722,-74.5611
78AC,0,0
79,40.8614,-74.4369
791,40.5722,-74.5611
793,41.4976,-74.0221
794,40.8614,-74.4369
798,40.8614,-74.4369
799,40.8614,-74.4369
79BX,0,0
79SP,0,0
7CR,40.7539,-74.0636
7EL,40.7539,-74.0636
7LF,40.7539,-74.0636
7RUG,0,0
7UMP,0,0
8,39.8649,-75.0424
801,39.8649,-75.0424
802,39.8649,-75.0424
804,39.8649,-75.0424
805,39.8649,-75.0424
806,39.9137,-75.1469
808,39.8649,-75.0424
80AM,0,0
80FD,0,0
81,39.8649,-75.0424
812,39.8649,-75.0424
813,40.1607,-75.1392
814,39.8649,-75.0424
817,39.8649,-75.0424
818,40.5722,-74.5611
819,39.8649,-75.0424
81AM,0,0
81SB,0,0
826,39.8649,-75.0424
828,40.5109,-74.3386
829,39.4147,-74.525
82AM,0,0
83,39.4815,-75.0218
833,39.8649,-75.0424
838,39.8649,-75.0424
839,39.4815,-75.0218
83AM,0,0
84,39.4147,-74.525
844,40.7539,-74.0636
848,40.2366,-74.7203
851,40.2366,-74.7203
852,40.6016,-74.1818
853,40.6016,-74.1818
855,40.5722,-74.5611
856,40.2366,-74.7203
857,40.5109,-74.3386
858,40.2366,-74.7203
85AC,0,0
86,40.2366,-74.7203
863,40.2366,-74.7203
866,40.5722,-74.5611
867,40.2366,-74.7203
868,40.2366,-74.7203
869,40.2366,-74.7203
86A,0,0
86AC,0,0
86AM,0,0
86AZ,0,0
86FD,0,0
86GR,0,0
86LB,0,0
86MC,0,0
86SA,0,0
86SS,0,0
86WY,0,0
87,40.0727,-74.1796
871,40.0727,-74.1796
872,40.0727,-74.1796
875,40.0727,-74.1796
878,40.0727,-74.1796
87AM,0,0
88,40.5722,-74.5611
881,40.5722,-74.5611
883,40.5722,-74.5611
884,40.5109,-74.3386
885,40.5722,-74.5611
886,0,0
887,40.5722,-74.5611
889,0,0
88SN,0,0
89,40.5109,-74.3386
898,40.5109,-74.3386
899,40.5109,-74.3386
89AM,0,0
89BA,0,0
89GR,0,0
8BHP,0,0
