CC,SLIC,SORT,CAP,SPAN,STRT
US,9592,L,1855,328,1700
US,9592,P,1659,403,400
US,9593,L,6390,328,1700
US,9593,P,2025,403,400
US,9601,L,3655,328,1700
US,9601,P,2060,403,400
US,9603,P,1239999,403,400
US,9604,P,1069999,403,400
US,9609,P,2940,403,400
US,9609,T,3994,403,1700
US,9610,L,1548,328,1700
US,9610,P,1318,403,400
US,9611,P,1239999,403,400
US,9629,L,7282,328,1700
US,9629,S,99999,403,300
US,9670,L,2470,328,1700
US,9670,P,960,403,400
US,9680,L,960000,328,1700
US,9682,L,6353,328,1700
US,9682,P,1070,403,400
US,9683,L,2509,328,1700
US,9683,P,1240,403,400
US,9684,L,3410,328,1700
US,9684,P,1010,403,400
US,9689,N,1179999,403,2200
US,9689,P,15027,403,400
US,9701,L,5097,328,1700
US,9701,P,2725,403,400
US,9709,P,11394,403,400
US,9709,T,20000,403,1700
US,9710,L,3561,328,1700
US,9710,P,1920,403,400
US,9711,L,2178,328,1700
US,9711,P,1708,403,400
US,9719,S,23625,403,300
US,9719,T,17713,403,1700
US,9729,D,86000,478,1100
US,9729,L,52657,328,1700
US,9729,M,1059999,400,600
US,9729,N,86000,403,2200
US,9729,P,28686,403,400
US,9729,T,86000,403,1700
US,9730,L,6067,328,1700
US,9730,P,7080,403,400
US,9731,L,5739,328,1700
US,9731,P,2940,403,400
US,9732,L,4480,328,1700
US,9732,P,1690,403,400
US,9741,L,1139999,328,1700
US,9742,L,5071,328,1700
US,9742,P,2450,403,400
US,9744,L,1965,328,1700
US,9744,P,1627,403,400
US,9745,L,2261,328,1700
US,9745,P,1081,403,400
US,9749,N,20000,403,2200
US,9749,P,7200,403,400
US,9749,T,20000,403,1700
US,9750,A,1159999,150,900
US,9750,L,5411,328,1700
US,9750,P,4400,403,400
US,9751,L,5426,328,1700
US,9751,P,2100,403,400
US,9769,L,4108,328,1700
US,9769,P,4920,403,400
US,9770,L,940000,328,1700
US,9770,P,980000,403,400
US,9771,L,3717,328,1700
US,9771,P,1521,403,400
US,9779,L,3534,328,1700
US,9779,P,1373,403,400
US,9779,S,116999,403,300
US,9780,L,1844,328,1700
US,9780,P,1815,403,400
US,9781,L,2460,328,1700
US,9781,P,1718,403,400
