CC,SLIC,SORT,CAP,SPAN,STRT
US,6871,P,1280,403,400
US,6879,S,1880,403,300
US,6879,T,1290,403,1700
US,6880,L,4040,328,1700
US,6880,P,2180,403,400
US,6881,L,4960,328,1700
US,6881,P,2040,403,400
US,6882,L,2020,328,1700
US,6882,P,1440,403,400
US,6889,S,1019999,403,300
US,6890,L,4040,328,1700
US,6890,P,1520,403,400
US,6900,L,3400,328,1700
US,6900,P,1107,403,400
US,6911,L,1840,328,1700
US,6911,P,1240,403,400
US,6919,N,20000,403,2200
US,6919,P,2260,403,400
US,6919,T,20000,403,1700
US,6930,L,1500,328,1700
US,6930,P,1520,403,400
US,6931,L,2140,328,1700
US,6931,P,1520,403,400
US,7009,T,960,403,1700
US,7019,N,41000,403,2200
US,7019,P,3551,403,400
US,7019,T,41000,403,1700
US,7020,L,4645,328,1700
US,7020,P,3288,403,400
US,7030,L,4727,328,1700
US,7030,P,2650,403,400
US,7031,L,3124,328,1700
US,7031,P,2150,403,400
US,7040,L,4152,328,1700
US,7040,P,3240,403,400
US,7045,L,4275,328,1700
US,7045,P,2040,403,400
US,7049,L,4275,328,1700
US,7049,P,5040,403,400
US,7050,L,4234,328,1700
US,7050,P,4640,403,400
US,7051,L,3864,328,1700
US,7051,P,1425,403,400
US,7052,L,4110,328,1700
US,7052,P,1425,403,400
US,7059,S,910000,403,300
US,7059,T,1019999,403,1700
US,7069,L,3288,328,1700
US,7069,N,20000,403,2200
US,7069,P,6000,403,400
US,7080,L,3165,328,1700
US,7080,P,2000,403,400
US,7089,L,3151,328,1700
US,7089,P,6480,403,400
US,7109,T,1139999,403,1700
US,7119,N,20000,403,2200
US,7119,P,5700,403,400
US,7119,T,20000,403,1700
US,7120,L,4316,328,1700
US,7120,P,2375,403,400
US,7122,L,1665,328,1700
US,7122,P,1370,403,400
US,7123,L,3699,328,1700
US,7123,P,1302,403,400
US,7130,L,3124,328,1700
US,7130,P,4650,403,400
US,7140,L,1994,328,1700
US,7140,P,1425,403,400
US,7149,S,1239999,403,300
US,7160,L,5015,328,1700
US,7160,P,2160,403,400
US,7161,L,3741,328,1700
US,7161,P,1507,403,400
US,7170,L,2138,328,1700
US,7170,P,1206,403,400
US,7171,L,2076,328,1700
US,7171,P,1439,403,400
US,7180,L,4768,328,1700
US,7180,P,3720,403,400
US,7189,P,1119999,403,400
US,7190,L,5138,328,1700
US,7190,P,2040,403,400
US,7191,L,1542,328,1700
US,7191,P,1549,403,400
US,7192,P,900000,403,400
US,7200,L,3083,328,1700
US,7200,P,1083,403,400
US,7209,M,750000,400,600
US,7209,S,4050,403,300
US,7209,T,3900,403,1700
US,7210,L,3247,328,1700
US,7210,P,2080,403,400
US,7229,N,76000,403,2200
US,7229,P,30914,403,400
US,7229,T,76000,403,1700
US,7230,L,4686,328,1700
US,7230,P,1288,403,400
US,7231,L,2055,328,1700
US,7231,P,1412,403,400
US,7240,L,3494,328,1700
US,7240,P,2000,403,400
US,7241,L,2240,328,1700
US,7241,P,1617,403,400
US,7250,L,4563,328,1700
US,7250,P,1549,403,400
US,7260,L,3124,328,1700
US,7260,P,1980,403,400
US,7263,L,2528,328,1700
US,7263,P,1699,403,400
US,7270,L,9500,328,1700
US,7270,P,11500,403,400
US,7280,L,4028,328,1700
US,7280,P,3025,403,400
US,7290,L,4727,328,1700
US,7290,P,3150,403,400
US,7309,S,831,403,300
US,7309,T,613,403,1700
US,7319,A,1189999,150,900
US,7319,N,88000,403,2200
US,7319,P,11304,403,400
US,7319,S,88000,403,300
US,7319,T,88000,403,1700
US,7340,L,3509,328,1700
US,7340,P,1840,403,400
US,7350,L,3293,328,1700
US,7350,P,2340,403,400
US,7351,L,3135,328,1700
US,7351,P,1486,403,400
US,7360,L,5092,328,1700
US,7360,P,1700,403,400
US,7369,S,1009999,403,300
US,7370,L,5167,328,1700
US,7370,P,2500,403,400
US,7380,L,7250,328,1700
US,7380,P,2480,403,400
US,7390,L,3407,328,1700
US,7390,P,1345,403,400
US,7401,L,5943,328,1700
US,7401,P,1535,403,400
US,7409,S,1009,403,300
US,7409,T,624,403,1700
US,7419,P,12652,403,400
US,7419,T,20000,403,1700
US,7430,L,4431,328,1700
US,7430,P,2060,403,400
US,7440,L,3985,328,1700
US,7440,P,1520,403,400
US,7450,L,4403,328,1700
US,7450,P,1500,403,400
US,7460,L,5163,328,1700
US,7460,P,1055,403,400
US,7470,L,2560,328,1700
US,7470,P,1394,403,400
US,7479,S,1059999,403,300
US,7480,L,5077,328,1700
US,7480,P,2650,403,400
