SLIC,SLIC Name,OpTyp,Desc,Building,Building Name,Region Num,Region Name,District Num,District Name,Facility Latitude,Facility Longitude,Organization Country Cd
160,WORCESTER-WEST,PKG,REGULAR PACKAGE CENTER,169,WORCESTER,7,EAST REGION,36,NORTHEAST,42.2603,-71.7924,US
160,WORCESTER-WEST,PKG,REGULAR PACKAGE CENTER,169,WORCESTER,7,NORTHEAST,36,EAST NEW ENGLAND,42.2603,-71.7924,US
168,WORCESTER WEST - 0169 CPU,CPU,CENTRAL PICKUP,169,WORCESTER,7,EAST REGION,36,NORTHEAST,42.2603,-71.7924,US
168,WORCESTER WEST - 0169 CPU,CPU,CENTRAL PICKUP,169,WORCESTER,7,NORTHEAST,36,EAST NEW ENGLAND,42.2603,-71.7924,US
169,WORCESTER,HUB,HUB/CENTRAL SORT,169,WORCESTER,7,EAST REGION,36,NORTHEAST,42.2603,-71.7924,US
169,WORCESTER,HUB,HUB/CENTRAL SORT,169,WORCESTER,7,NORTHEAST,36,EAST NEW ENGLAND,42.2603,-71.7924,US
016WN,WORCESTER NIGHT CPU,CPU,CENTRAL PICKUP,169,WORCESTER,7,EAST REGION,36,NORTHEAST,42.2603,-71.7924,US
170,ASHLAND,PKG,REGULAR PACKAGE CENTER,170,ASHLAND,7,EAST REGION,36,NORTHEAST,42.2508,-71.429,US
170,ASHLAND,PKG,REGULAR PACKAGE CENTER,170,ASHLAND,7,NORTHEAST,36,EAST NEW ENGLAND,42.2508,-71.429,US
172,MARLBORO,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
172,MARLBORO,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
176,CHELMSFORD D,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
176,CHELMSFORD D,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
177,WORCESTER EAST - 0169 CPU,CPU,CENTRAL PICKUP,169,WORCESTER,7,EAST REGION,36,NORTHEAST,42.2603,-71.7924,US
177,WORCESTER EAST - 0169 CPU,CPU,CENTRAL PICKUP,169,WORCESTER,7,NORTHEAST,36,EAST NEW ENGLAND,42.2603,-71.7924,US
178,ASHLAND - 0169 CPU,CPU,CENTRAL PICKUP,170,ASHLAND,7,EAST REGION,36,NORTHEAST,42.2508,-71.429,US
178,ASHLAND - 0169 CPU,CPU,CENTRAL PICKUP,170,ASHLAND,7,NORTHEAST,36,EAST NEW ENGLAND,42.2508,-71.429,US
017SP,Customer Location,CSL,CUSTOMER SHIPPING LOC,017SP,Customer Location,7,EAST REGION,36,NORTHEAST,0,0,US
017SP,Customer Location,CSL,CUSTOMER SHIPPING LOC,9999,Customer Location,7,EAST REGION,36,NORTHEAST,0,0,US
180,LOWELL,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
180,LOWELL,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
184,WILMINGTON,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
184,WILMINGTON,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
185,LAWRENCE,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
185,LAWRENCE,PKG,REGULAR PACKAGE CENTER,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
186,MEDFORD,PKG,REGULAR PACKAGE CENTER,212,SOMERVILLE,7,EAST REGION,36,NORTHEAST,42.3775,-71.0796,US
186,WILMINGTON VILLAGE,PKG,REGULAR PACKAGE CENTER,186,WILMINGTON,7,EAST REGION,36,NORTHEAST,0,0,US
188,CHELMSFORD - T,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
188,CHELMSFORD - T,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
188,CHELMSFORD CPU-WORCESTER,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
189,CHELMSFORD,HUB,HUB/CENTRAL SORT,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
189,CHELMSFORD,HUB,HUB/CENTRAL SORT,189,CHELMSFORD,7,NORTHEAST,62,NO NEW ENGLAND,42.6001,-71.3046,US
018MS,CHELMSFORD NIGHT MULTI ST,CPU,CENTRAL PICKUP,189,CHELMSFORD,7,EAST REGION,36,NORTHEAST,42.6001,-71.3046,US
190,LYNNFIELD,PKG,REGULAR PACKAGE CENTER,199,LYNNFIELD,7,EAST REGION,36,NORTHEAST,42.5065,-71.0344,US
190,LYNNFIELD,PKG,REGULAR PACKAGE CENTER,199,LYNNFIELD,7,NORTHEAST,62,NO NEW ENGLAND,42.5065,-71.0344,US
193,LYNNFIELD SOUTH,PKG,REGULAR PACKAGE CENTER,199,LYNNFIELD,7,EAST REGION,36,NORTHEAST,42.5065,-71.0344,US
