,SLIC,SLIC_State
342,030AM, NH
343,310, NH
344,311, RI
345,313, NH
346,316, NH
347,317, NH
348,318, NH
349,319, NH
350,320, NH
351,324,   
352,325, NL
353,326, NH
354,327, NH
355,328, NH
356,332,   
357,333, NH
358,335, NL
359,338, NH
360,339, NL
361,340, NH
362,345, NL
363,347, NH
364,348, NH
365,349, NL
366,350, NH
367,355, NL
368,358, NH
369,365, NL
370,367, QC
371,368, NH
372,371, NH
373,375, NL
374,376, NL
375,379, NH
376,380, NH
377,382, NH
378,386, NH
379,388, NH
380,395, NH
381,396, RI
382,398, QC
383,399, NH
384,03EX , NH
385,03NM , NS
386,03PM , SK
387,03VA , NH
388,03WC , MA
389,400, ME
390,402, NH
391,407, NS
392,408, ME
393,412, ME
394,413, NH
395,417, ON
396,418, ME
397,419, ME
398,422, ME
399,424, QC
400,426,   
401,427, ME
402,428, ME
403,429, ME
404,042AF, BC
405,432, ME
406,433,   
407,434, ME
408,436, ME
409,437, CA
410,438, ME
411,439, ME
412,440, ME
413,441, ME
414,443, ME
415,444, ME
416,448, ME
417,449, ME
418,453, ON
419,457, ME
420,458, ME
421,460, ME
422,468, ME
423,470, ME
424,471, ME
425,472, ME
426,473, ME
427,478, ME
428,480, ME
429,481, ME
430,482,   
431,490, ME
432,495, ON
433,497, ME
434,498, ME
435,04AT , ME
436,04BM , NB
437,04CO , ON
438,04CQ , NB
439,04CX , NB
440,04DD , ME
441,04EL , ME
442,04FW , NB
443,04HW , NS
444,04LM , ON
445,04LV , NS
446,04LX , ME
447,04ME , ME
448,04MQ , NB
449,04MR , NB
450,04MW , NB
451,04NA , MA
452,04NB , NH
453,04PK , ON
454,04PR , ME
455,04RM , NB
456,04SX , ON
457,04WL , ME
458,04WS , ME
459,500, VT
460,504, MB
461,505, NS
462,506, NS
463,510, MB
464,522, IL
465,530, VT
466,535, VT
467,536, VT
468,538, VT
469,540, VT
470,541, ME
471,546, VT
472,547, VT
473,548, VT
474,054AG, VT
475,554, VT
476,556,   
477,558, VT
478,560, VT
479,566, VT
480,567, VT
481,568, VT
482,570, VT
483,572, VT
484,574,   
485,575, QC
486,578, VT
487,580, VT
488,584,   
489,585, VT
490,587, VT
491,588, VT
492,596, VT
493,598, VT
494,05NA , MA
495,05NB , MA
496,05NC , VT
497,05ND , VT
498,05XC , ME
499,600, CT
500,602, CT
501,603, CT
502,604, CT
503,605, CT
504,606, CT
505,608, CT
506,609, CT
507,060AM, CT
508,060AZ, CT
509,610, CT
510,612, CT
511,613, CT
512,615, CT
513,616, CT
514,617, CT
515,618, CT
516,619, CT
517,061JC, CT
518,623, CT
519,624, CT
520,625, NS
521,628, CT
522,629, CT
523,062SP, CT
524,630, CT
525,631, CT
526,632, CT
527,633, CT
528,635, CT
529,637, CT
530,638, CT
531,063AM, CT
532,063DI, CT
533,641, CT
534,645, NS
535,647, CT
536,648, CT
537,649, CT
538,651, CT
539,652, CT
540,654, VT
541,655, CT
542,656,   
543,658, CT
544,659, NS
545,660, CT
546,662, CT
547,663, CT
548,665, NS
549,666, NJ
550,667, CT
551,668, CT
552,669, CT
553,670, CT
554,671, NJ
555,672, CT
556,673, CT
557,678, CT
558,679, CT
559,067MA, CT
560,680, CT
561,681, CT
562,685, CT
563,688, CT
564,689, CT
565,690, CT
566,692, CT
567,693, CT
568,695, CT
569,698, CT
570,699, CT
571,06DH , CT
572,06ML , CT
573,06NA , CT
574,06NB , CT
575,06NC , CT
576,06NH , CT
577,06PM , MO
578,06WT , CT
579,701, NJ
580,702, NJ
581,703, NJ
582,704, NJ
583,707, NJ
584,708, NJ
585,709, NJ
586,070AM, NJ
587,070AZ, NJ
588,070HF, NJ
589,710, NJ
590,713, NJ
591,714, NJ
592,715, NJ
593,716, NJ
594,717, NJ
595,718, NJ
596,719, NJ
597,071TD, NJ
598,721, NJ
599,722, NJ
600,723, NJ
601,724, NJ
602,726, NJ
603,727, NJ
604,728, NJ
605,729, NJ
606,072AM, NJ
607,072AZ, NJ
608,730, NJ
609,731, NJ
610,732, NJ
611,733, NJ
612,734, NJ
613,735, NS
614,736, NJ
615,738, NJ
616,739, NJ
617,740, NJ
618,742, NJ
619,744, NJ
620,745, NJ
621,746, NJ
622,747, NJ
623,748, NJ
624,749, NJ
625,750, NJ
626,751, NJ
627,753, NJ
628,754, NJ
629,756, NJ
630,757, NJ
631,758, NJ
632,759, NJ
633,075CP, NJ
634,075L , NJ
635,761, NJ
636,762, NJ
637,763, NJ
638,764, NJ
639,765, NS
640,766, NJ
641,767, NJ
642,768, NJ
643,770, NJ
644,771, NJ
645,772, NJ
646,774, NJ
647,775, NJ
648,776, NJ
649,777, NJ
650,778, NJ
651,779, NJ
652,780, NJ
653,781, NJ
654,782, NJ
655,783, NJ
656,784, NJ
657,785, NJ
658,786, NJ
659,787, NJ
660,788, NJ
661,789, NJ
662,790, NJ
663,791, NJ
664,792, NJ
665,793, NY
666,794, NJ
667,795, NS
668,796, NJ
669,797, NJ
670,798, NJ
671,799, NJ
672,079BX, NJ
673,079SP, NY
674,07BI , NJ
675,07BS , NJ
676,07CI , NJ
677,07CR , NJ
678,07EL , NJ
679,07ES , NJ
680,07FO , NJ
681,07GG , NJ
682,07GO , NJ
683,07LF , NJ
684,07LI , NJ
685,07MKS, NJ
686,07MP , NJ
687,07NML, NJ
688,07NRT, NJ
689,07OS , NJ
690,07PAT, NJ
691,07RP , NJ
692,07RUG, NJ
693,07SB , NJ
694,07SC , NJ
695,07SHA, NJ
696,07TY , NJ
697,07UMP, NJ
698,07VL , TX
699,07YF , NJ
700,800, NJ
701,801, NJ
702,802, NJ
703,804, NJ
704,805, NJ
705,806, NJ
706,808, NJ
707,080AM, NJ
708,810, NJ
709,812, NJ
710,813, PA
711,814, NJ
712,816, NJ
713,817, NJ
714,818, NJ
715,819, NJ
716,081AM, NJ
717,081SB, NJ
718,821, BC
719,825, NS
720,826, NJ
721,827, NJ
722,828, NJ
723,829, NJ
724,830, NJ
725,833, NJ
726,834,   
727,835, NB
728,836, NJ
729,838, NJ
730,839, NJ
731,083AM, NJ
732,840, NJ
733,844, NJ
734,845, NB
735,846, CT
736,848, NJ
737,851, NJ
738,852, NY
739,853, NY
740,854, NJ
741,855, NJ
742,856, NJ
743,857, NJ
744,858, NJ
745,860, NJ
746,861, NJ
747,863, NJ
748,864, NJ
749,866, NJ
750,867, NJ
751,868, NJ
752,869, NJ
753,086A , NJ
754,086AM, NJ
755,086AZ, NJ
756,086FD, NJ
757,086GR, NJ
758,086LB, NJ
759,086MC, NJ
760,086SA, NJ
761,086SS, NJ
762,086WY, NJ
763,870, NJ
764,871, NJ
765,872, NJ
766,874, NJ
767,875, NJ
768,876, NJ
769,878, NJ
770,087AM, NJ
771,880, NJ
772,881, NJ
773,883, NJ
774,884, NJ
775,885, NJ
776,886, NJ
777,887, NJ
778,888, NJ
779,889, NJ
780,088SN, NJ
781,890, NJ
782,892, NJ
783,895, NJ
784,897, NJ
785,898, NJ
786,899, NJ
787,089AM, NJ
788,089BA, NJ
789,089GR, NJ
790,08BHP, NJ
791,08BX , NJ
792,08CLV, NJ
793,08ESL, NJ
794,08GRN, NJ
795,08HP , AR
796,08NA , NY
797,08NB , NY
798,08NJ , NJ
799,08OM , NJ
800,08OS , NJ
801,08PT , NJ
802,08RK , NJ
803,08SD , NJ
804,08SH , NJ
805,08SI , NJ
806,08SM , NJ
807,08SS , NJ
808,08TS , NJ
809,08TW , NJ
810,08UN , NJ
811,08UX , NJ
812,08XO , NY
813,902, IL
814,904,   
815,905, NS
816,907, IN
817,915, NS
818,922, IN
819,923, KY
820,925, NS
821,927, KY
822,932, KY
823,937, MI
824,952, MN
825,953, OH
826,957, OH
827,963, KY
828,967, WI
829,972, FL
830,973, GA
831,977, MI
832,982, NC
833,983, NC
834,987, NC
835,988, NB
836,992, SC
837,993, SC
838,09AC , IA
839,09AI , TX
840,09AU , NV
841,09BC , PA
842,09BG , UT
843,09BH , CA
844,09BT , CA
845,09CA , NV
846,09CH , NC
847,09CQ , KY
848,09DA , NY
849,09DC , CA
850,09FI , OH
851,09FL , KY
852,09HA , IN
853,09HO , AZ
854,09ID , CA
855,09IN , CA
856,09IZ , TX
857,09LM , OH
858,09LO , CA
859,09LP , IN
860,09LW , AZ
861,09MB , PA
862,09MO , UT
863,09OD , SC
864,09OK , IL
865,09PO , OK
866,09PR , AR
867,09RC , IN
868,09RE , IN
869,09RO , NY
870,09SA , OR
871,09SE , IL
872,09SN , NY
873,09TM , UT
874,09UM , AZ
875,09WA , GA
876,09WE , AZ
877,09WI , AZ
878,09WL , WV
879,09WM , KY
880,1000, NY
881,1001, NY
882,1002, NY
883,1003, NY
884,1004, NY
885,1006, NY
886,1007, NY
887,1008, NY
888,1009, NY
889,1009S, NY
890,1010, NY
891,1011, NY
892,1013, NY
893,1014, NY
894,1015, NY
895,1017, NY
896,1019, NY
897,1020, NY
898,1021, NY
899,1022, NY
900,1023, NY
901,1025, NY
902,1027, NY
903,1029, NY
904,1030, NY
905,1032, NY
906,1033, NY
907,1034, NY
908,1037, NY
909,1038, NY
910,1041, NY
911,1042, NY
912,1043, NY
913,1044, NY
914,1045, NY
915,1046, NY
916,1047, NY
917,1048, NY
918,1049, NY
919,104MS, NY
920,1050, NY
921,1051, NY
922,1052, NY
923,1053, NY
924,1056, NY
925,1058, NY
926,1060, NY
927,1064, NY
928,1065, NY
929,1068, NY
930,1069, NY
931,1070, NY
932,1073, NY
933,1078, NY
934,1080, NY
935,1081, NY
936,1084, NY
937,1086, NY
938,1087, NY
939,1089, NY
940,108AM, NY
941,1090, NY
942,1091, NY
943,1092, NY
944,1093, NY
945,1098, NY
946,10HP , NJ
947,10NA , NY
948,10NB , NY
949,10NY , NY
950,1100, NY
951,1101, PA
952,1102, NY
953,1108, NY
954,110CP, NY
955,110PT, NY
956,1110, NY
957,1111, NY
958,1112, NY
959,1113,   
960,1117, NY
961,1118, NY
962,1119, NY
963,111RY,   
964,111SP, NY
965,1120, NY
966,1122, NY
967,1123, NY
968,1124, NY
969,1125, NY
970,1126, NY
971,1128, NY
972,1129, NY
973,112ML,   
974,112SK, NY
975,1130, NY
976,1132, NY
977,1133, NY
978,1137, NY
979,1140, NY
980,1142, NY
981,1144, NY
982,1145, NY
983,1147, NY
984,1148, NY
985,1149, NY
986,114CP, NY
987,114HA, NY
988,114HU, NY
989,114SF, NY
990,1151, NY
991,1152, NY
992,1155, NY
993,1156, NY
994,1157, NY
995,1158, NY
996,1159, NY
997,115GC, NY
998,1161, NY
999,1162, NY
1000,1163, NY
1001,1164, NY
1002,1165, NY
1003,1166, NY
1004,116CP, NY
1005,116Z , NY
1006,1170, NY
1007,1172, NY
1008,1173, NY
1009,1174, NY
1010,1175, NY
1011,1176, NY
1012,1178, NY
1013,1180, NY
1014,1181, NY
1015,1183, NY
1016,1185, NY
1017,1186, NY
1018,1187, NY
1019,1188, NY
1020,1189, NY
1021,1191, NY
1022,1192, NY
1023,1193, NY
1024,1194, NY
1025,1195, NY
1026,1196, NY
1027,1198, NY
1028,11CR , NY
1029,11KC , MS
1030,11NC , NJ
1031,11WB , KY
1032,1200, NY
1033,1201, NY
1034,1202, NY
1035,1206, NB
1036,1208, NY
1037,1210, NY
1038,1215, NY
1039,1218, NY
1040,1220, NY
1041,1222, NY
1042,1223, NY
1043,1224, NY
1044,1225, NY
1045,1227, NY
1046,1228, NY
1047,1229, NY
1048,1230, NY
1049,1235, NY
1050,1236, NY
1051,1237, NY
1052,1238, NY
1053,1239, NY
1054,1240, NY
1055,1245, NY
1056,1246, NY
1057,1247, NY
1058,1248, NY
1059,1249, NY
1060,1250, NY
1061,1251, NY
1062,1252, NY
1063,1253, NY
1064,1255, NY
1065,1256, NY
1066,1257, NY
1067,1258, NY
1068,1259, NY
1069,1260, NY
1070,1261, NY
1071,1262, NY
1072,1263, NY
1073,1264, NY
1074,1268, NY
1075,1269, NY
1076,126GP, NY
1077,1270, NY
1078,1271, NY
1079,1272, NY
1080,1273, NY
1081,1276, NY
1082,1277, NY
1083,1278, NY
1084,1280, NY
1085,1281, NY
1086,1283,   
1087,1284, NY
1088,1287, NY
1089,1288, NY
1090,1289, NY
1091,1290, NY
1092,1292, NY
1093,1293, NY
1094,1294, NY
1095,1297, NY
1096,1298, NY
1097,1299, NY
1098,12AL , NY
1099,12B3 , NY
1100,12BG , NY
1101,12BR , NY
1102,12CR , NJ
1103,12EC , NY
1104,12FK , MA
1105,12FR , NY
1106,12FT , NY
1107,12HV , NY
1108,12KA , NY
1109,12LT , NY
1110,12MB , NY
1111,12MD , NY
1112,12NA , NY
1113,12NB , NY
1114,12NC , NY
1115,12ND , NY
1116,12NE , NY
1117,12NF , NY
1118,12NG , NY
1119,12NH , NY
1120,12NK , NY
1121,12NL , NY
1122,12NM , NY
1123,12NP , NY
1124,12NQ , NY
1125,12NR , NY
1126,12NS , NY
1127,12NT , NY
1128,12NU , NY
1129,12NV , NY
1130,12NW , NY
1131,12NX , NY
1132,12NY , NY
1133,12NZ , NY
1134,12OX , NY
1135,12PA , NY
1136,12PC , NY
1137,12PO , NY
1138,12PR , NY
1139,12PS , NY
1140,12RR , NY
1141,12SA , NY
1142,12UF , NY
1143,12WR , NY
1144,12XA , NY
1145,12XB , NY
1146,12XL , NY
1147,12XS , MA
1148,12XX , NY
1149,1300, NY
1150,1302, NY
1151,1308, NY
1152,1318, NY
1153,1319, NY
1154,1320, NY
1155,1321, NY
1156,1324, NY
1157,1325, NY
1158,1326, NY
1159,1327, NY
1160,1328, NY
1161,1329, NY
1162,1335, NY
1163,1336, NY
1164,1337, NY
1165,1338, NY
1166,1340, NY
1167,1341, NY
1168,1345,   
1169,1348, NY
1170,1349, NY
1171,1350, NY
1172,1351, NY
1173,1358, NY
1174,1359, NY
1175,1360, NY
1176,1361, NY
1177,1362, NY
1178,1363, NY
1179,1365, NY
1180,1368, NY
1181,1369, NY
1182,136L , NY
1183,136LV, NY
1184,136R , NY
1185,1370, NY
1186,1371, NY
1187,1375, PE
1188,1376, NY
1189,1378, NY
1190,1379, NY
1191,137CS, NY
1192,1380, NY
1193,1385, PE
1194,1386, NY
1195,1388, NY
1196,1389, NY
1197,1395, NY
1198,1396, QC
1199,1398, NY
1200,1399, NY
1201,139R , NY
1202,13AP , NY
1203,13BF , NY
1204,13BR , NY
1205,13CE , NY
1206,13KN , NY
1207,13MG , NY
1208,13NN , NY
1209,13NT , NY
1210,13NV , NY
1211,13NY , NY
1212,13RO , NY
1213,13SN , NY
1214,13WT , NY
1215,13XE , NY
1216,13XL , NY
1217,13XN , NY
1218,1400, NY
1219,1401, NY
1220,1402, NY
1221,1405, NY
1222,1406, NY
1223,1408, NY
1224,1409, NY
1225,1410, NY
1226,1414, NY
1227,1417, ON
1228,1419, NY
1229,1420, NY
1230,1421, NY
1231,1422, NY
1232,1424, NY
1233,1426, NY
1234,1427, NY
1235,1428, NY
1236,1429, NY
1237,1430, NY
1238,1431, NY
1239,1435, NY
1240,1436, NY
1241,1439, NY
1242,1440, NY
1243,1441, NY
1244,1443, NY
1245,1445, NY
1246,1446, NY
1247,1449, NY
1248,144PM, NY
1249,1451,   
1250,1453, ON
1251,1454, NY
1252,1455, NY
1253,1456, NY
1254,1459, NY
1255,1460, NY
1256,1461, NY
1257,1462, NY
1258,1463, NY
1259,1468, NY
1260,1469, NY
1261,146SB, NY
1262,146SP, NY
1263,1470, NY
1264,1471, NY
1265,1473, NY
1266,1474, NY
1267,1475, NY
1268,1476, NY
1269,1477, NY
1270,1479, NY
1271,1480, NY
1272,1481, NY
1273,1482, NY
1274,1485, ON
1275,1488, NY
1276,1489, NY
1277,1490, NY
1278,1491, NY
1279,1493, NY
1280,1494, NY
1281,1495, NY
